text,label
I love this product! It's amazing.,positive
This is the worst experience ever.,negative
Absolutely fantastic service and great quality.,positive
I hate this place. Never coming back!,negative
The customer support was very helpful and kind.,positive
This is a terrible product. Waste of money.,negative
Highly recommend this! Best purchase I've made.,positive
The food was cold and tasted awful.,negative
"Such a wonderful experience, will definitely return.",positive
I regret buying this. It broke in two days.,negative
